ID,Status,Requested,ER - Priority,Subject,Request Status,Organization,Updated,Submitted Priority,RequestOverview,ER,Sentiment,Status,Commited version,Strategic,Impact,Technical,Resource,Market,Total
1237016,Open,3/10/2023 18:44,Low,Hide Locked Items in Solution Manager,(4a) Under Consideration (Not Planned),Allstate,6/23/2025 6:26,Low,"Jason Otey from Allstate proposed an enhancement to the Solution Manager to add a toggle for viewing locked items. This request was acknowledged by Ab Aly from RightAnswers Support, who asked for additional information to better understand the request. The request was then forwarded to the product team for consideration. Siva Prasath Sivakumar later informed Jason that the request was added to the list of ideas for future consideration.",The request is to add a user-selectable toggle in the Solution Manager that allows users to hide locked items from the list view. This is intended to reduce confusion for users in the approval workflow who see locked items but cannot process them.,Positive,Reject,,3,2,5,1,2,16
1472859,On-hold,2/19/2024 20:05,High,09. Make Knowledge Quality Required,(4b) Accepted / On Roadmap,United Services Automobile Association [USAA],6/3/2025 12:06,Low,Angie Bernacet from USAA requested an enhancement to make article quality assessment mandatory before authors can request a review. The goal is to ensure content quality in the knowledge base. Bishoy Hany from UplandSoftware Support gathered additional information and forwarded the request to the product team. Stephen Harley provided additional input on the requirement. Felipe Fernandes later confirmed that the request was added to the product roadmap for the 2025R2 release.,The enhancement request is to implement a mandatory article quality assessment that authors must complete before they can request a review. This is intended to enforce content quality standards within the USAA knowledge base.,Positive,Accepted,Planned for 2026R1,5,4,4,3,4,19
638931,Open,3/15/2021 22:22,,Taxonomies with zero articles' report shouldn't display the ones that have solutions in level 2 or below,(4a) Under Consideration (Not Planned),"Pfizer, Inc.",1/3/2025 5:14,Normal,"The customer, Ronald, requested an enhancement to the 'Taxonomies with zero articles' report to exclude taxonomies with solutions in level 2 or below. Rayhan Sunny created an enhancement request and forwarded it to the product team. Stephen Harley later updated Ronald, indicating that the request was added to the list of ideas for potential future development. Anupama Vallamsetla and Siva Prasath Sivakumar discussed prioritizing the request.",The request is to modify the 'Taxonomies with zero articles' report so that it does not display taxonomies that have solutions in level 2 or below.,Positive,,,5,5,5,5,5,20
1309175,On-hold,6/15/2023 20:26,Low,Make Attributes links at the solution level,(4a) Under Consideration (Not Planned),Allstate,7/26/2023 9:13,Low,"Dan Kleinbeck submitted a request to add link functionality to the Attributes section of the Metadata in the RightAnswers Portal. Youssef Omar from support acknowledged the request and gathered additional information. The request was then forwarded to the product team for review. Stephen Harley later updated Dan, stating that the request was added to the list of ideas for potential future development.","The request is to add link functionality to the Attributes section of the Metadata on individual solutions in the RightAnswers Portal, similar to the existing functionality in the Taxonomy section. This enhancement aims to improve user efficiency by allowing users to browse related content more easily.",Neutral,reject,,4,3,3,3,3,15
1474604,On-hold,2/21/2024 20:46,,Association solution flags,(4a) Under Consideration (Not Planned),Allstate,6/23/2025 6:26,Low,"The customer, Wale Junaid, reported an issue where flags appear on child solutions when a parent solution undergoes a minor save. The request is to change this behavior so that flags only appear on child solutions when the parent solution has a major save. This would reduce unnecessary manual work for business areas. The request was acknowledged by support and forwarded to the product team for consideration as a potential enhancement.","The enhancement request is to modify the system so that child solutions are only flagged when a parent solution undergoes a major save, not a minor save. This change aims to reduce unnecessary manual intervention by business areas.","The overall sentiment is positive towards the support received, but there is a sense of urgency and frustration regarding the current workaround.",reject,,3,4,3,3,3,15
1576970,Open,7/26/2024 16:13,,Email Template,(2) Product Management Review,Allstate,6/23/2025 6:20,Low,"Dan Kleinbeck from Allstate contacted RightAnswers Support to set up a workflow notification that displays the email address of the user who submitted a comment. The current setup only displays email addresses from other users. Ab Aly from RightAnswers Support acknowledged the request, attempted a workaround, and eventually determined that the feature is not supported in the current release. Dan requested the issue be raised as an enhancement request to the product team.","The request is to enhance the workflow notification system to display the email address of the user who submitted a comment, as the current system only displays email addresses from other users.",Neutral to Positive,Delivered,,3,2,4,2,2,14
1545843,Open,6/7/2024 16:01,Medium,"Future Publish and Future Unpublish features, to trigger On Save workflows once the solutions are saved",(3) Not Accepted / Feature Exists,Allstate,6/10/2025 17:18,Low,"Dan Kleinbeck submitted an enhancement request on behalf of the business to modify the Future Publish and Future Unpublish features to trigger On Save workflows. This request was made to ensure that changes are reviewed by subject matter experts before being published. The request was initially acknowledged by Youssef Omar, who asked for more details. After some delay due to the requester being unavailable, Dan provided the necessary information. The request was then sent to the product team for consideration. Eventually, the request was rejected by Felipe Fernandes, who explained that the feature already exists for admins, and authors can use scheduled workflows to maintain content quality.","The enhancement request is to modify the Future Publish and Future Unpublish features so that they trigger On Save workflows, ensuring that changes are reviewed by subject matter experts before being published.",Neutral to Negative,Reject,,3,4,2,4,4,14
1550221,Open,6/14/2024 13:36,,Expand all in preview,(2) Product Management Review,Allstate,6/23/2025 6:21,Low,Dan Kleinbeck requested an enhancement for the RightAnswers platform to add an 'Expand All' feature in the Solution Preview. This feature already exists in the Portal and Solution Manager. Ab Aly from Upland Software collected additional information from Dan to understand the request better. The request was then forwarded to the product team for consideration.,"The enhancement request is to implement the 'Expand All' capability in the Solution Preview window of RightAnswers, similar to the existing feature in the Portal and Solution Manager.","The overall sentiment is neutral. Dan is interested in improving efficiency, but there is no urgency or strong dissatisfaction expressed.",reject,,3,1,5,1,1,14
1640859,On-hold,10/31/2024 19:12,Medium,Standard report filter boxes,(5) In Development (Planned),Allstate,6/6/2025 12:46,Normal,"Wale Junaid from Allstate reported an issue with the filter boxes for Workgroups, Groups, and Collections in the RA Portal or Author report, stating they are not large enough to see some options clearly. The request was acknowledged by RightAnswers Support, and it was suggested to submit an Enhancement Request (ER) to the product team. Wale agreed to proceed with the ER. The request was submitted, and the product team is working on it, with an anticipated release in 2025R2.","The Enhancement Request is to modify the filter boxes for Workgroups, Groups, and Collections in the RA Portal or Author report to be larger or have a scroll option, allowing users to see all options clearly.",Positive,Accepted,,2,1,5,1,2,14
1565789,Open,7/9/2024 20:24,,"Update to Solution History ""By User"" column",(4b) Accepted / On Roadmap,Allstate,6/5/2025 9:42,Low,"Dan Kleinbeck reported an issue in Solution Manager related to the visibility of user information in the Solution History. The current system only displays the Workday ID after a comment is cleared, making it difficult to identify the user. Dan requested an enhancement to display the name and email address alongside the Workday ID in the 'By User' column. The request was acknowledged by Ab Aly and forwarded to the product team by Dalton Carmody for consideration in the product roadmap.","Enhance the 'By User' column in Solution History to display the commenter's name and email address alongside the Workday ID, similar to the comment section, to facilitate user identification and communication.","The sentiment is generally positive towards the support team for forwarding the request, but there is underlying frustration due to the current workaround's inefficiency and dependency.",Accepted,,2,2,4,2,2,13
1076782,Open,8/2/2022 20:01,Low,Add Portal Group Visibility to Document solutions,(4a) Under Consideration (Not Planned),Allstate,6/23/2025 6:24,Low,"Wale Junaid requested the addition of portal group visibility to document solutions in Solution Manager. Salma Essam from RightAnswers Support acknowledged the request and gathered necessary information, including screenshots and internal URLs. The issue was reproduced across different environments. Salma asked Wale to provide additional information about the system request, business impact, and current workaround. The request was then forwarded to the product team for consideration. Later, Siva Prasath Sivakumar updated Wale that the request was added to the list of ideas for potential future development.","The enhancement request is to enable portal group visibility for document solutions in Solution Manager, which is currently disabled.",Positive,reject,,2,2,4,2,2,13
1342351,On-hold,8/7/2023 14:39,Medium,16. Add Up-Vote Functionality on Comments Left in Portal,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],2/21/2025 15:20,Low,"Angie Bernacet requested the addition of an up-vote feature for comments on solutions in the portal to reduce repetitive 'me too' comments. The request was acknowledged by Georgios Stergis and forwarded to the product team for consideration. Felipe Fernandes later updated Angie, indicating that the feature is considered valuable and has been added to the list of ideas for potential future development, with prioritization occurring quarterly.",The request is to add an up-vote functionality for comments on solutions within the portal to minimize repetitive comments.,"Neutral to positive, with a moderate level of urgency as the request is acknowledged but not immediately actionable.",Accepted,Not planned,3,3,2,2,1,12
1522137,On-hold,5/3/2024 16:53,Low,23. EKM/PNC Update to Solution Links in Support Agent,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/6/2025 14:47,Low,"Angie Bernacet requested a feature enhancement for the support agent interface to allow users to preview linked solutions via a fly-out box when hovering over links. Bishoy Hany, an Application Support Engineer, gathered additional information and submitted the request to the product team. Felipe Fernandes later informed Angie that the request was added to the list of ideas for potential future development, with updates to be provided if it progresses.","The request is for a feature that enables support agents to preview linked solutions in a fly-out box when hovering over links, improving efficiency by reducing the need to click and navigate back and forth between articles.",Positive,Accepted,Planned for 2026R2,3,4,3,3,2,14
1481718,On-hold,3/4/2024 15:41,,Custom author roles missing Solutions expiring in link,(4a) Under Consideration (Not Planned),Allstate,6/23/2025 6:27,Low,"Wale Junaid from Allstate reported that custom author roles in Solution Manager are missing the 'Solutions expiring in' link. The issue was investigated and found to be due to the feature being available only for admin and approver roles as per the 2023R2 release design. Wale requested an enhancement to make the feature available for custom roles, specifically the 'Archive Approver' role. The request was escalated to the product team for consideration in future releases.","The customer requests that the 'Solutions expiring in' link, currently available only to admin and approver roles, be made accessible to custom author roles, particularly the 'Archive Approver' role, in future releases of Solution Manager.",Negative,Accepted,2026R3,4,3,2,4,2,12
1073166,Closed,7/27/2022 18:18,High,Ability for authors to collaborate on drafts with other authors,(3) Needs Customer Feedback,United Services Automobile Association [USAA],5/22/2025 8:47,Normal,"Diana de Almeida initially requested the ability for authors to edit drafts collaboratively in the solution manager. Georgios Stergis submitted this as an enhancement request to the product team. Stephen Harley later updated Diana, indicating the request was added to a list of ideas but not yet prioritized. A workaround involving custom roles was suggested, but concerns about the management and limitations of custom roles were raised. Stephen proposed changes for a future release to streamline custom role management, but Christopher Gordano reiterated the preference for the standard author role to support draft sharing.",The enhancement request is for the standard author role in the solution manager to have the ability to share and collaboratively edit drafts with other authors without requiring administrative intervention.,"Overall sentiment is neutral, with a sense of urgency for a solution that allows collaborative editing without the limitations of custom roles.",Rejected,,,,,,,0
1118256,Open,10/3/2022 19:10,Low,Add Mermaid-js and Markdown support to Code Sample,(4a) Under Consideration (Not Planned),Allstate,1/16/2024 19:01,Low,"Wale Junaid from Allstate requested the ability to directly embed mermaid-js diagrams and Markdown support into RightAnswers KB articles. Salma Essam from RightAnswers Support acknowledged the request and confirmed it as an enhancement. Wale confirmed the enhancement request, and it was forwarded to the product team. Wale later provided additional context by sharing a GitHub link illustrating the desired functionality. Stephen Harley from Upland Product Management later updated Wale, indicating the request was added to their list of ideas and would be prioritized based on value to users.",The request is to add functionality to RightAnswers KB articles that allows direct embedding of mermaid-js diagrams with inline code editing and Markdown support.,"Positive, with a sense of anticipation for the enhancement.",reject,,2,3,3,3,2,12
1341462,On-hold,8/4/2023 19:36,Medium,18. Add Remove Keyword Functionality to the Bulk Editor,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],2/21/2025 15:18,Low,Angie Bernacet from USAA requested the addition of a feature to remove keywords using the bulk editor options. The request was acknowledged and sent to the product team for consideration. An update was provided indicating that the feature has not yet been scheduled for a release but is on the list of potential enhancements.,"The request is to add functionality to the bulk editor that allows users to remove keywords, enhancing the current capabilities of the tool.",Neutral,Accepted,Planned for 2026R2,2,5,4,3,2,15
1421379,Open,11/29/2023 14:19,Low,21. Ability to Cancel Future Scheduled Completion (aka FDP) After Approval,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:17,Normal,"Diana de Almeida reported an issue where authors need to make changes to content after it has been approved and scheduled for future publication. Currently, there is no way to cancel a future date publish once approved, leading to workflow disruptions when authors attempt to delete scheduled workflows. The request was escalated to the product team for review.","The request is for a feature that allows authors to cancel or modify a future date publish after approval, without disrupting the workflow. This includes the ability for the original author to cancel or modify the revision and resubmit it through the workflow while retaining the original future date publish.","The overall sentiment is neutral to slightly negative due to the lack of a current solution, but there is hope for future resolution through product enhancement.",Accepted,Planned for 2026R2,2,4,3,3,2,13
1778442,Open,6/30/2025 21:24,,File Size API Request,(2) Product Management Review,Allstate,6/30/2025 22:06,Normal,Dan Kleinbeck from the AI Search team requested an enhancement to the RightAnswers API to include file size information in the response from the GET /solution/{solutionId} endpoint. This is to prevent processing errors caused by documents that are too large for their document processing pipeline.,The AI Search team requests the addition of a file size field in the response of the GET /solution/{solutionId} API endpoint to identify and handle large documents before processing.,Positive,Reject,,2,2,1,2,1,9
1572379,Open,7/19/2024 14:07,Medium,10. Broken Link Checker Visual Indicator,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],2/21/2025 15:29,Low,"Angie Bernacet requested a feature enhancement for a visual indicator to identify broken links within articles, as detected by the link checker. The request was acknowledged by Dalton Carmody, and further details were requested by Bishoy Hany. Angie provided the necessary information, and the request was forwarded to the product team for consideration.","The request is for a feature that provides a visual indicator within an article to show where a broken link is located, as detected by the link checker. The preference is for an automated solution, but a clickable option would be acceptable.","The overall sentiment is neutral, with a moderate level of urgency as the request aims to improve efficiency.",Accepted,Planned for 2026R2,3,5,5,3,2,17
1471688,On-hold,2/16/2024 17:29,High,06. Streamline the Comment Closure Process,(4b) Accepted / On Roadmap,United Services Automobile Association [USAA],6/3/2025 12:07,Low,Angie Bernacet requested an enhancement to automatically notify comment submitters of the resolution and actions taken by support agents. The request was acknowledged by Youssef Omar and sent to the product team for consideration. Felipe Fernandes later updated Angie that the request was added to the list of ideas and is anticipated for release in 2025R2.,"The enhancement request is to automate the notification process for comment submitters, ensuring they receive details of the resolution and actions taken. Additionally, each resolution category should capture notes that are sent to the comment submitter.",Positive,Accepted,Planned for 2026R1,3,4,5,4,3,16
1471696,Open,2/16/2024 17:39,Medium,17. Additional Comment Disposition,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:16,Low,Angie Bernacet requested the ability to add additional comment dispositions beyond the current three available. This enhancement would help support agents better understand resolutions and provide authors with more intuitive options when closing comments. Bishoy Hany from support requested additional information to proceed with the enhancement request and confirmed that the request was forwarded to the product team for consideration.,"The request is to add additional comment dispositions to the current system, which currently supports only three. This enhancement aims to improve the understanding of resolutions by support agents and provide more intuitive options for authors when closing comments.",Positive,Accepted,Planned for 2026R1,4,3,5,4,3,16
1572384,Open,7/19/2024 14:11,High,08. Email Notifications on Favorited Articles,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/22/2025 9:31,Low,"Angie Bernacet requested a feature where support agents receive email notifications when changes are made to their favorited articles. Dalton Carmody acknowledged the request and promised a follow-up. Bishoy Hany asked for additional information, which Angie provided. The request was then forwarded to the product team for consideration.",The request is for a feature that sends email notifications to support agents when changes are made to articles they have saved as favorites.,Positive,Accepted,Not planned,2,2,3,2,2,12
659794,Open,4/27/2021 14:13,Medium,Dynamic filters in search results,(4a) Under Consideration (Not Planned),Centrica Plc / British Gas,1/8/2024 3:14,Normal,"The customer, Centrica - British Gas, requested dynamic filters in search results to display only relevant templates, collections, and taxonomy data. The request was acknowledged by RightAnswers Support and forwarded to the product team for consideration. The enhancement was deemed valuable and added to the list of potential product improvements. Updates were promised as the request progresses through the review and prioritization process.","The request is for dynamic filters in search results that only show templates, collections, and taxonomy data relevant to the specific portal group or returned solutions, thereby improving the relevance and efficiency of search results.",Positive,,,,,,,,0
786061,Open,10/15/2021 6:55,Low,Customization request: Email notification to user for comment unflagging,(4a) Under Consideration (Not Planned),Aeven A/S,6/23/2025 5:29,Normal,"Tiger Haohu He from NNIT requested a customization for email notifications to be sent to users when their comments are unflagged by supporters. The email should be customizable and the feature should be enabled/disabled per portal group. The request was reviewed by the support team and forwarded to the product team for consideration as an enhancement request. After several follow-ups, it was determined that the request would not be handled by Professional Services and needed to be raised as an enhancement request. The product team acknowledged the request and added it to their list of ideas, but it is not currently on the roadmap.",The request is for a feature that sends customizable email notifications to users when their comments are unflagged by supporters. This feature should be configurable to be enabled or disabled per portal group.,Neutral,,,,,,,,0
1130996,Closed,10/19/2022 16:45,Low,26. Request the ability to easily rename workgroup,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/6/2025 14:47,Low,"Angie Bernacet inquired about the possibility of renaming a workgroup without the cumbersome process of creating a temporary workgroup, moving users and articles, and then deleting the temporary workgroup. The request was acknowledged and forwarded to the product team. Stephen Harley later updated Angie, stating that the feature request was added to the list of ideas for potential future development.",The request is for a feature enhancement to allow users to easily rename a workgroup without needing to create a temporary workgroup and manually move users and articles.,"Neutral to positive, as the request was acknowledged and considered for future development, but the current workaround is seen negatively.",Rejected,,,,,,,0
788554,Open,10/20/2021 6:34,Low,Dashboard future publish/unpublish,(4a) Under Consideration (Not Planned),Colruyt Group Services,3/13/2024 8:48,Normal,Bregje Liessens requested a dashboard feature to overview scheduled publish/unpublish moments for solutions. Sakshi Jindal acknowledged the request and forwarded it to the product team. Stephen Harley later updated Bregje that the request was added to the list of ideas for future consideration. Siva Prasath Sivakumar confirmed ongoing exploration of internal solutions and promised updates.,"The request is for a dashboard feature that provides an overview of all solutions scheduled for future publish or unpublish, enhancing visibility and planning.",Positive,,,,,,,,0
797926,Open,11/5/2021 10:36,Medium,Email alerts for agents,(4a) Under Consideration (Not Planned),Colruyt Group Services,6/23/2025 6:25,Low,"Bregje Liessens requested an enhancement to allow agents to receive email notifications for changes made to solutions in their favorites, similar to the existing feature for authors. Sakshi Jindal acknowledged the request and forwarded it to the product team for review. Abhijit Paul suggested a workaround involving subscribing to comments, which Bregje found insufficient as it did not cover changes to the solution itself. Abhijit later explained a future feature that would allow email alerts for major updates only, expected in the March release. The request was added to the list of ideas for potential future development.","The request is to enable agents to receive email notifications for changes made to solutions in their favorites, similar to the existing feature for authors.",Neutral,,,,,,,,0
874260,Open,1/14/2022 9:50,Medium,Re: version notes are not merged with the parent solution,(4a) Under Consideration (Not Planned),Comcast Cable National Customer Operations,6/23/2025 6:25,Normal,"Stephen Harley reported an issue where version notes from a revision are not merged with the parent solution after publication in the RA Solution Manager. The ticket was auto-closed due to inactivity but was later reopened by Mary K. Fauteux. The issue was acknowledged as a potential enhancement by Upland's Product Management, and it was added to their list of ideas for future consideration.",The request is to ensure that version notes from a revision are merged with the parent solution upon publication in the RA Solution Manager.,"The overall sentiment is neutral to slightly positive, as the customer is awaiting future updates on the enhancement request. The urgency is moderate due to the customer's Diamond status and the potential impact on their operations.",,,,,,,,0
883427,Open,1/28/2022 21:45,Low,"Email or other alert to author when solution is flagged, edited, or otherwise updated in Solution Manager",(4a) Under Consideration (Not Planned),"Paychex, Inc.",12/26/2023 18:55,Low,"John Quinmore requested an enhancement for Solution Manager to notify authors when their solutions are flagged or changed. Ab Aly from support requested additional information to process the request. After receiving the necessary details, the request was forwarded to the product team. Stephen Harley later updated John that the request was added to the list of ideas for potential future development. John added an internal tracking number for reference.","The request is for an enhancement in Solution Manager to send notifications to authors when their solutions are flagged, edited, or updated.",Positive,,,,,,,,0
885478,Open,2/1/2022 20:00,Low,"Expose ""Created On"" date for User reports",(4a) Under Consideration (Not Planned),"Cox Communications, Inc.",5/10/2022 12:03,Low,"John Fleming requested an enhancement in the Analytics section to include the 'Created On' date as a viewable column and filter option. Ahmed Badawi from support acknowledged the request and asked for additional information to assess the enhancement. The request was forwarded to the product team for consideration. Stephen Harley later updated John, stating that the request was added to the list of ideas and will be prioritized in future quarters.",The enhancement request is to add the 'Created On' date as a viewable column and filter option in the Analytics section to help identify when user records were created and to filter users by creation date.,"Positive, as the request was acknowledged and added to the list of potential enhancements, with a promise of future updates.",,,,,,,,0
886664,Open,2/3/2022 10:05,,Decision Tree Field - Purpose/Context field,(2) Product Management Review,John Lewis Plc,5/16/2024 11:29,Normal,"Steven Green, on behalf of Richard Day from JLP, raised an enhancement request to add a new 'Purpose/Context' field to decision trees in the system. This field aims to help users understand the context and purpose of a decision tree, ensuring they select the correct one for their situation. The request was discussed with Dave Woods and Mark Dos Santos, who provided input on the feasibility and potential complexity. Sakshi Jindal from RightAnswers Support acknowledged the request and coordinated its submission to the product team for review.","The enhancement request is to add a 'Purpose/Context' field to decision trees, which will appear above the question section. This field is intended to provide users with context about the decision tree, differentiating it from the existing Action/Advice field. The goal is to improve user experience by clearly communicating the purpose of the decision tree.",Neutral,,,,,,,,0
889642,On-hold,2/8/2022 14:26,Low,Add ability to control Target when adding a Solution Link,(4a) Under Consideration (Not Planned),PAR Technology,3/29/2024 17:31,Normal,"The customer, Jacob Watts from PAR Tech, requested an enhancement to allow users to control whether a solution link opens in the parent window, a new window, or none, similar to the functionality available with hypertext links. The request was submitted by Mostafa Abdelhamid to the product management team for review. The product team acknowledged the request and added it to their list of potential enhancements, with a promise to update the customer if it is prioritized for development.","Enhance the product to allow users to control the target window (parent, new, or none) when inserting a solution link, similar to the existing functionality for hypertext links.",Neutral,,,,,,,,0
889846,Open,2/8/2022 17:22,Low,Slack integration - article link preview,(3) Needs Customer Feedback,PAR Technology,3/29/2024 17:31,Normal,"The customer, a Gold account, requested an enhancement to Slack to include a preview of shared article links, displaying the title, summary, and leading text. The support team asked for additional information to assess the request, which was then forwarded to the product team for review. Later, a product manager inquired about the Slack application type used by the customer to explore a potential integration with RightAnswers Extension.","The request is for Slack to automatically generate a preview of shared article links, including the article title, summary, and leading text, when shared in the Slack installed application.",Neutral,,,,,,,,0
